"Paint Category","Part Number",Unit,Qty,Gallons,"VOC Total"
,PPG.D769,"1.00 QUART",18.00,4.50,27.14
,PPG.D770,"1.00 GALLON",30.00,30.00,181.80
,PPG.D771,"1.00 GALLON",90.00,90.00,547.20
,PPG.D772,"1.00 GALLON",26.00,26.00,157.82
,PPG.D776,"1.00 QUART",26.00,6.50,38.22
,PPG.D777,"1.00 QUART",12.00,3.00,17.40
,PPG.D778,"1.00 QUART",2.00,0.50,2.82
,PPG.D779,"1.00 QUART",8.00,2.00,11.58
,PPG.D780,"1.00 QUART",1.00,0.25,1.40
,PPG.D789,"1.00 QUART",426.00,106.50,628.35
,PPG.D790,"1.00 QUART",18.00,4.50,25.88
,PPG.D792,"1.00 QUART",5.00,1.25,6.64
,PPG.D793,"1.00 QUART",41.00,10.25,59.14
,PPG.D794,"1.00 QUART",8.00,2.00,10.76
,PPG.D797,"1.00 QUART",7.00,1.75,10.26
,PPG.D8113,"1.00 LITER",1.00,0.26,1.18
,PPG.D8239,"0.50 .5LTR",1.00,0.13,0.54
,PPG.D8291,"1.00 QUART",500.00,125.00,533.75
,PPG.D884,"1.00 GALLON",9.00,9.00,12.96
,PPG.D884,"1.00 QUART",1.00,0.25,0.36
,PPG.D894,"1.00 GALLON",11.00,11.00,44.33
,PPG.D942,"1.00 QUART",3.00,0.75,4.37
,PPG.D943,"1.00 QUART",5.00,1.25,7.26
,PPG.D944,"1.00 QUART",17.00,4.25,25.84
,PPG.D946,"1.00 QUART",127.00,31.75,192.40
,PPG.D952,"1.00 GALLON",103.00,103.00,621.09
,PPG.D953,"1.00 QUART",42.00,10.50,63.11
,PPG.D954,"1.00 QUART",8.00,2.00,11.58
,PPG.D955,"1.00 QUART",2.00,0.50,2.89
,PPG.D956,"1.00 QUART",86.00,21.50,123.84
,PPG.D957,"1.00 QUART",24.00,6.00,34.86
,PPG.D958,"1.00 QUART",67.00,16.75,97.82
,PPG.D959,"1.00 QUART",4.00,1.00,5.70
,PPG.D960,"1.00 QUART",10.00,2.50,14.48
,PPG.D964,"1.00 QUART",1.00,0.25,1.47
,PPG.D965,"1.00 QUART",2.00,0.50,2.91
,PPG.D966,"1.00 QUART",25.00,6.25,35.31
,PPG.D967,"1.00 QUART",17.00,4.25,24.95
,PPG.D968,"1.00 QUART",1.00,0.25,1.42
,PPG.D969,"1.00 QUART",10.00,2.50,14.28
,PPG.D971,"1.00 QUART",1.00,0.25,1.44
,PPG.D976,"1.00 QUART",45.00,11.25,67.95
,PPG.D977,"1.00 QUART",34.00,8.50,50.66
,PPG.D978,"1.00 QUART",83.00,20.75,122.63
,PPG.D979,"1.00 QUART",21.00,5.25,31.87
,PPG.D980,"1.00 QUART",19.00,4.75,28.36
,PPG.D981,"1.00 QUART",41.00,10.25,58.94
,PPG.D983,"1.00 QUART",5.00,1.25,7.56
,PPG.D985,"1.00 QUART",2.00,0.50,3.00
,PPG.D989,"1.00 QUART",147.00,36.75,222.34
,PPG.D991,"1.00 QUART",2.00,0.50,2.89
,PPG.DC2000,"1.00 GALLON",2.00,2.00,5.52
,PPG.DC3000,"1.00 GALLON","1,755.00","1,755.00","6,054.75"
,PPG.DC4000,"1.00 GALLON",469.00,469.00,"2,016.70"
,PPG.DCH3095,"1.00 QUART",827.00,206.75,545.82
,PPG.DCH3098,"8.00 8OZ",3.00,0.19,0.50
,PPG.DCH3098,"1.00 QUART","1,425.00",356.25,940.50
,PPG.DCU2021,"1.00 GALLON",1.00,1.00,4.03
,PPG.DCX61,"1.00 QUART",1.00,0.25,0.36
,PPG.DGB,"1.00 QUART",1.00,0.25,1.08
,PPG.DPX172,"1.00 QUART",4.00,1.00,6.71
,PPG.DT860,"1.00 GALLON",60.00,60.00,212.40
,PPG.DT870,"1.00 GALLON",17.00,17.00,117.47
,PPG.DT885,"1.00 GALLON",24.00,24.00,168.96
,PPG.DT895,"1.00 GALLON","1,251.00","1,251.00","8,757.00"
,PPG.DT898,"1.00 GALLON",65.00,65.00,457.60
,PPG.DX840,"1.00 GALLON",8.00,8.00,55.76
,PPG.ECH7080,"1.00 QUART",1.00,0.25,0.57
,PPG.ECH7090,"1.00 QUART",1.00,0.25,0.59
,PPG.EH391,"1.00 QUART",235.00,58.75,16.45
,PPG.EH392,"1.00 QUART",115.00,28.75,30.76
,PPG.JBA,"1.00 QUART",2.00,0.50,2.63
,PPG.JC60,"1.00 GALLON",246.00,246.00,801.96
,PPG.JC630,"1.00 GALLON",1.00,1.00,3.54
,PPG.JC661,"1.00 GALLON",19.00,19.00,75.05
,PPG.JC6700,"5.00 5LITER",24.00,31.70,127.92
,PPG.JH301,"1.00 QUART",1.00,0.25,1.28
,PPG.JH63,"1.00 QUART",114.00,28.50,62.70
,PPG.JH6380,"1.00 QUART",1.00,0.25,0.82
,PPG.JH64,"1.00 QUART",141.00,35.25,76.49
,PPG.JH6670,"1.00 QUART",6.00,1.50,6.63
,PPG.JH6680,"1.00 QUART",29.00,7.25,32.05
,PPG.JH6690,"1.00 QUART",2.00,0.50,2.21
,PPG.JH6710,"2.50 2.5LTR",20.00,13.21,50.58
,PPG.JH6720,"2.50 2.5LTR",1.00,0.66,2.53
,PPG.PRLX1,"4.00 4OZ",21.00,0.66,1.59
,PPG.PRLX2,"4.00 4OZ",75.00,2.34,5.39
,PPG.PRLX3,"4.00 4OZ",7.00,0.22,0.50
,PPG.PRLX4,"4.00 4OZ",52.00,1.63,3.67
,PPG.PRLX5,"4.00 4OZ",4.00,0.13,0.29
,PPG.PRLX6,"4.00 4OZ",122.00,3.81,8.81
,PPG.PRLX7,"4.00 4OZ",3.00,0.09,0.23
,PPG.PRLX8,"4.00 4OZ",1.00,0.03,0.07
,PPG.PRLX9,"4.00 4OZ",1.00,0.03,0.07
,PPG.SX1072,"1.00 QUART",2.00,0.50,0.47
,PPG.SXA840,"1.00 AERO",47.00,4.41,27.01
,PPG.T400,"2.00 2LITER",114.00,60.23,54.80
,PPG.T4000,"1.00 PINT",15.00,1.88,1.59
,PPG.T4001,"1.00 PINT",3.00,0.38,0.32
,PPG.T4002,"1.00 PINT",6.00,0.75,0.63
,PPG.T4003,"1.00 PINT",12.00,1.50,1.26
,PPG.T4004,"1.00 PINT",4.00,0.50,0.38
,PPG.T4005,"1.00 PINT",5.00,0.63,0.47
,PPG.T4006,"1.00 PINT",3.00,0.38,0.29
,PPG.T401,"1.00 PINT",9.00,1.13,0.95
,PPG.T402,"1.00 PINT",14.00,1.75,1.73
,PPG.T403,"1.00 PINT",2.00,0.25,0.19
,PPG.T404,"1.00 PINT",26.00,3.25,2.70
,PPG.T4040,"1.00 PINT",3.00,0.38,0.34
,PPG.T405,"1.00 PINT",1.00,0.13,0.11
,PPG.T406,"1.00 LITER",3.00,0.79,0.76
,PPG.T407,"2.00 2LITER",147.00,77.67,55.90
,PPG.T407,"1.00 LITER",11.00,2.91,2.09
,PPG.T409,"2.00 2LITER",102.00,53.89,25.87
,PPG.T411,"1.00 LITER",7.00,1.85,1.50
,PPG.T412,"1.00 LITER",57.00,15.06,11.90
,PPG.T413,"1.00 LITER",4.00,1.06,0.89
,PPG.T414,"2.00 2LITER",2.00,1.06,0.90
,PPG.T414,"1.00 LITER",24.00,6.34,5.39
,PPG.T415,"1.00 PINT",10.00,1.25,1.10
,PPG.T420,"1.00 LITER",3.00,0.79,0.54
,PPG.T421,"1.00 PINT",3.00,0.38,0.26
,PPG.T422,"1.00 PINT",8.00,1.00,0.87
,PPG.T423,"1.00 PINT",16.00,2.00,1.92
,PPG.T425,"1.00 PINT",2.00,0.25,0.18
,PPG.T426,"1.00 PINT",4.00,0.50,0.42
,PPG.T427,"1.00 LITER",1.00,0.26,0.10
,PPG.T428,"1.00 PINT",5.00,0.63,0.43
,PPG.T4281,"0.50 .5LTR",2.00,0.26,0.22
,PPG.T429,"1.00 PINT",47.00,5.88,4.53
,PPG.T430,"1.00 LITER",7.00,1.85,1.52
,PPG.T431,"1.00 LITER",3.00,0.79,0.65
,PPG.T432,"1.00 LITER",6.00,1.59,1.27
,PPG.T433,"1.00 PINT",2.00,0.25,0.21
,PPG.T4341,"0.50 .5LTR",1.00,0.13,0.11
,PPG.T435,"1.00 LITER",6.00,1.59,1.41
,PPG.T436,"1.00 PINT",6.00,0.75,0.64
,PPG.T438,"1.00 LITER",5.00,1.32,1.07
,PPG.T439,"1.00 LITER",1.00,0.26,0.18
,PPG.T440,"1.00 PINT",33.00,4.13,3.63
,PPG.T441,"1.00 PINT",4.00,0.50,0.41
,PPG.T442,"1.00 PINT",5.00,0.63,0.52
,PPG.T443,"1.00 LITER",25.00,6.60,5.55
,PPG.T444,"1.00 LITER",7.00,1.85,1.66
,PPG.T445,"1.00 LITER",2.00,0.53,0.38
,PPG.T445,"1.00 PINT",14.00,1.75,1.33
,PPG.T447,"1.00 LITER",7.00,1.85,1.28
,PPG.T448,"2.00 2LITER",5.00,2.64,1.64
,PPG.T448,"1.00 LITER",24.00,6.34,3.93
,PPG.T451,"1.00 PINT",7.00,0.88,0.75
,PPG.T452,"1.00 PINT",11.00,1.38,1.18
,PPG.T453,"1.00 LITER",20.00,5.28,4.33
,PPG.T454,"1.00 LITER",6.00,1.59,1.33
,PPG.T455,"1.00 PINT",17.00,2.13,1.74
,PPG.T456,"1.00 LITER",28.00,7.40,6.06
,PPG.T457,"1.00 PINT",31.00,3.88,3.18
,PPG.T458,"1.00 PINT",1.00,0.13,0.10
,PPG.T459,"1.00 LITER",2.00,0.53,0.44
,PPG.T460,"1.00 LITER",10.00,2.64,2.10
,PPG.T460,"1.00 PINT",24.00,3.00,2.46
,PPG.T461,"1.00 PINT",1.00,0.13,0.10
,PPG.T462,"1.00 LITER",4.00,1.06,0.89
,PPG.T465,"1.00 PINT",29.00,3.63,2.97
,PPG.T466,"1.00 PINT",3.00,0.38,0.30
