"Paint, Category","Part Number",Unit,Qty,Gallons,"VOC Total"
,PPG.JH6680,"1.00 QUART",29.00,7.25,32.05
,PPG.JH6690,"1.00 QUART",2.00,0.50,2.21
,PPG.JH6710,"2.50 2.5LTR",20.00,13.21,50.58
,PPG.JH6720,"2.50 2.5LTR",1.00,0.66,2.53
,PPG.PRLX1,"4.00 4OZ",21.00,0.66,1.59
,PPG.PRLX2,"4.00 4OZ",76.00,2.38,5.46
,PPG.PRLX3,"4.00 4OZ",7.00,0.22,0.50
,PPG.PRLX4,"4.00 4OZ",53.00,1.66,3.74
,PPG.PRLX5,"4.00 4OZ",4.00,0.13,0.29
,PPG.PRLX6,"4.00 4OZ",122.00,3.81,8.81
,PPG.PRLX7,"4.00 4OZ",3.00,0.09,0.23
,PPG.PRLX8,"4.00 4OZ",1.00,0.03,0.07
,PPG.PRLX9,"4.00 4OZ",1.00,0.03,0.07
,PPG.SX1072,"1.00 QUART",2.00,0.50,0.47
,PPG.SX840,"1.00 GALLON",1.00,1.00,6.97
,PPG.SXA840,"1.00 AERO",49.00,4.59,28.16
,PPG.T400,"2.00 2LITER",119.00,62.87,57.20
,PPG.T4000,"1.00 PINT",15.00,1.88,1.59
,PPG.T4001,"1.00 PINT",3.00,0.38,0.32
,PPG.T4002,"1.00 PINT",6.00,0.75,0.63
,PPG.T4003,"1.00 PINT",13.00,1.63,1.37
,PPG.T4004,"1.00 PINT",4.00,0.50,0.38
,PPG.T4005,"1.00 PINT",5.00,0.63,0.47
,PPG.T4006,"1.00 PINT",3.00,0.38,0.29
,PPG.T401,"1.00 PINT",10.00,1.25,1.05
,PPG.T402,"1.00 PINT",15.00,1.88,1.86
,PPG.T4026,"0.25 .25L",1.00,0.07,0.05
,PPG.T403,"1.00 PINT",2.00,0.25,0.19
,PPG.T4031,"1.00 PINT",1.00,0.13,0.09
,PPG.T404,"1.00 PINT",27.00,3.38,2.80
,PPG.T4040,"1.00 PINT",3.00,0.38,0.34
,PPG.T405,"1.00 PINT",1.00,0.13,0.11
,PPG.T406,"1.00 LITER",3.00,0.79,0.76
,PPG.T407,"2.00 2LITER",154.00,81.36,58.57
,PPG.T407,"1.00 LITER",11.00,2.91,2.09
,PPG.T409,"2.00 2LITER",105.00,55.48,26.63
,PPG.T411,"1.00 LITER",8.00,2.11,1.71
,PPG.T412,"1.00 LITER",59.00,15.59,12.31
,PPG.T413,"1.00 LITER",4.00,1.06,0.89
,PPG.T414,"2.00 2LITER",3.00,1.59,1.35
,PPG.T414,"1.00 LITER",24.00,6.34,5.39
,PPG.T415,"1.00 PINT",10.00,1.25,1.10
,PPG.T420,"1.00 LITER",3.00,0.79,0.54
,PPG.T421,"1.00 PINT",3.00,0.38,0.26
,PPG.T422,"1.00 PINT",8.00,1.00,0.87
,PPG.T423,"1.00 PINT",17.00,2.13,2.04
,PPG.T425,"1.00 PINT",2.00,0.25,0.18
,PPG.T426,"1.00 PINT",6.00,0.75,0.63
,PPG.T427,"1.00 LITER",1.00,0.26,0.10
,PPG.T428,"1.00 PINT",5.00,0.63,0.43
,PPG.T4281,"0.50 .5LTR",2.00,0.26,0.22
,PPG.T429,"1.00 PINT",48.00,6.00,4.62
,PPG.T430,"1.00 LITER",7.00,1.85,1.52
,PPG.T431,"1.00 LITER",3.00,0.79,0.65
,PPG.T432,"1.00 LITER",6.00,1.59,1.27
,PPG.T4321,"0.50 .5LTR",1.00,0.13,0.10
,PPG.T433,"1.00 PINT",2.00,0.25,0.21
,PPG.T4341,"0.50 .5LTR",1.00,0.13,0.11
,PPG.T4342,"0.50 .5LTR",1.00,0.13,0.10
,PPG.T4343,"0.50 .5LTR",2.00,0.26,0.16
,PPG.T435,"1.00 LITER",7.00,1.85,1.65
,PPG.T436,"1.00 PINT",6.00,0.75,0.64
,PPG.T438,"1.00 LITER",5.00,1.32,1.07
,PPG.T439,"1.00 LITER",1.00,0.26,0.18
,PPG.T440,"1.00 PINT",33.00,4.13,3.63
,PPG.T441,"1.00 PINT",5.00,0.63,0.51
,PPG.T442,"1.00 PINT",5.00,0.63,0.52
,PPG.T443,"1.00 LITER",26.00,6.87,5.77
,PPG.T444,"1.00 LITER",8.00,2.11,1.90
,PPG.T445,"1.00 LITER",2.00,0.53,0.38
,PPG.T445,"1.00 PINT",14.00,1.75,1.33
,PPG.T447,"1.00 LITER",7.00,1.85,1.28
,PPG.T448,"2.00 2LITER",5.00,2.64,1.64
,PPG.T448,"1.00 LITER",24.00,6.34,3.93
,PPG.T451,"1.00 PINT",7.00,0.88,0.75
,PPG.T452,"1.00 PINT",12.00,1.50,1.29
,PPG.T453,"1.00 LITER",21.00,5.55,4.55
,PPG.T454,"1.00 LITER",6.00,1.59,1.33
,PPG.T455,"1.00 PINT",17.00,2.13,1.74
,PPG.T456,"1.00 LITER",29.00,7.66,6.28
,PPG.T457,"1.00 PINT",32.00,4.00,3.28
,PPG.T458,"1.00 PINT",1.00,0.13,0.10
,PPG.T459,"1.00 LITER",2.00,0.53,0.44
,PPG.T460,"1.00 LITER",10.00,2.64,2.10
,PPG.T460,"1.00 PINT",24.00,3.00,2.46
,PPG.T461,"1.00 PINT",1.00,0.13,0.10
,PPG.T462,"1.00 LITER",4.00,1.06,0.89
,PPG.T465,"1.00 PINT",29.00,3.63,2.97
,PPG.T466,"1.00 PINT",3.00,0.38,0.30
,PPG.T468,"1.00 PINT",50.00,6.25,5.13
,PPG.T471,"2.00 2LITER",24.00,12.68,10.65
,PPG.T472,"2.00 2LITER",21.00,11.10,9.76
,PPG.T472,"1.00 LITER",94.00,24.83,21.85
,PPG.T473,"2.00 2LITER",95.00,50.19,45.16
,PPG.T474,"1.00 LITER",36.00,9.51,8.27
,PPG.T475,"2.00 2LITER",66.00,34.87,31.03
,PPG.T476,"2.00 2LITER",55.00,29.06,24.99
,PPG.T477,"1.00 LITER",3.00,0.79,0.68
,PPG.T479,"1.00 LITER",53.00,14.00,10.50
,PPG.T489,"1.00 PINT",7.00,0.88,0.82
,PPG.T490,"2.00 2LITER",68.00,35.93,32.69
,PPG.T490,"1.00 LITER",8.00,2.11,1.92
,PPG.T491,"1.00 LITER",53.00,14.00,8.54
,PPG.T492,"2.00 2LITER",1.00,0.53,0.16
,PPG.T494,"1.00 GALLON",151.00,151.00,25.67
,PPG.T581,"1.00 PINT",15.00,1.88,5.63
,PPG.T588,"1.00 QUART",1.00,0.25,0.67
,SEM.39803,"1.00 AERO",31.00,2.91,17.19
,SEM.40903,"1.00 EACH",52.00,52.00,35.07
"Topcoats(Max allowed: 3,200.0)",,,,"6,783.56","28,450.72"
,,,,,
"Grand Total",,,,"13,000.17","51,439.28"
